"gene","rho_LGG","p_value_LGG","FDR_LGG","n_LGG","rho_GBM","p_value_GBM","FDR_GBM","n_GBM","delta_rho_LGG_minus_GBM","abs_delta_rho"
"CDC42P3",-0.17696835362029,5.29642113374734e-05,0.000200076291021256,516,0.0839138162281483,0.158423791324917,0.301317397344805,284,-0.260882169848439,0.260882169848439
"ZNF625",0.0843970765197395,0.0553774441467284,0.111849805044615,516,-0.176477822399243,0.00284136045691184,0.0149008910751406,284,0.260874898918982,0.260874898918982
"AC092656.1",0.231505443033527,1.0465013082035e-07,5.57558289179703e-07,516,-0.0293676323167042,0.6221286689208,0.755925384868298,284,0.260873075350231,0.260873075350231
"ACTR6",-0.152928543168062,0.000490356387672594,0.00158870749417032,516,0.107934944612814,0.0693336824278238,0.166990686720202,284,-0.260863487780876,0.260863487780876
"PHBP12",0.101296348548593,0.0213717099039989,0.0489046568715033,516,-0.159562517771061,0.00705111923108365,0.030190478558259,284,0.260858866319654,0.260858866319654
"ACTR1A",-0.100498870443698,0.0224220046079711,0.0510454365402151,516,0.160338111989774,0.00677535093315322,0.029328040040196,284,-0.260836982433472,0.260836982433472
"GAPDHP22",0.20364301896374,3.10697472801271e-06,1.38419644605809e-05,516,-0.0571882602523118,0.336909614728664,0.506471213158231,284,0.260831279216052,0.260831279216052
"AC024884.1",0.111962843071194,0.0109232104447077,0.026976614550668,516,-0.148866447076641,0.0120155194300281,0.0452506292519535,284,0.260829290147834,0.260829290147834
"PRR3",-0.267025895660695,7.12848210781885e-10,4.78771944778022e-09,516,-0.00622683469236471,0.91679265309903,0.953310253731759,284,-0.26079906096833,0.26079906096833
"ZNF878",0.124837625534872,0.00451126896920598,0.0121540488048176,516,-0.135957552113928,0.0219204410166019,0.0711182074484524,284,0.2607951776488,0.2607951776488
"AC010325.2",0.0179752936884503,0.683741512794212,0.788125483059393,516,-0.24281425880386,3.53418387011805e-05,0.000381060712336162,284,0.26078955249231,0.26078955249231
"AC126696.3",-0.266669881409622,7.52282835122542e-10,5.03999165546816e-09,516,-0.00588542473055709,0.921339655445457,0.956051342230639,284,-0.260784456679065,0.260784456679065
"NANP",0.338146447137051,2.87142130610165e-15,3.08324388905129e-14,516,0.0773718000770103,0.193569498868439,0.347371641886262,284,0.260774647060041,0.260774647060041
"ZFHX4",0.168362165670918,0.000121716951152584,0.00043568066706125,516,-0.0923940518693339,0.120301386828899,0.24794740745698,284,0.260756217540252,0.260756217540252
"SEC14L5",0.0292888053480993,0.506791005509008,0.642917823763965,516,0.290042355677678,6.57054251469573e-07,1.07612273372349e-05,284,-0.260753550329578,0.260753550329578
"VRK1",0.10341586365369,0.0187853667320408,0.0436619688154583,516,-0.157319516878096,0.00790590667703327,0.0329304647403273,284,0.260735380531785,0.260735380531785
"AC108457.1",0.0600934752532056,0.172887920799599,0.286125608891139,516,-0.200621172707836,0.000672243743712532,0.00469422826957008,284,0.260714647961041,0.260714647961041
"SORBS2",-0.198434989367488,5.57527794058423e-06,2.40440511597483e-05,516,0.0622746334806309,0.295626743716449,0.463544038802723,284,-0.260709622848119,0.260709622848119
"AC138207.9",0.630026661856944,1.99277760592448e-58,1.41424622784271e-56,516,0.369322649678993,1.31814720187854e-10,3.79797425911765e-09,284,0.260704012177952,0.260704012177952
"CEP192",0.0509738227641936,0.247744133001982,0.379317915693164,516,-0.209718493217067,0.000373259155994107,0.002877937949268,284,0.260692315981261,0.260692315981261
"MYSM1",0.233778691649828,7.77944885132434e-08,4.20624851703832e-07,516,-0.0269007012130436,0.651686150488333,0.777474020275684,284,0.260679392862872,0.260679392862872
"PKP3",-0.148416903715815,0.000719716868590673,0.00226479086583978,516,0.112231349819697,0.0588935830777454,0.148076489595888,284,-0.260648253535511,0.260648253535511
"RNU6-4P",-0.0208897749310611,0.635909767265241,0.751358027704518,516,-0.281524288294074,1.42645609344048e-06,2.17694432214508e-05,284,0.260634513363013,0.260634513363013
"AC093536.1",-0.114757153980039,0.00907849469452318,0.0228625732787228,516,0.145847533075515,0.013886143867976,0.0504514644528873,284,-0.260604687055554,0.260604687055554
"AL450313.1",-0.0754369447291144,0.0869183974078023,0.163965377277905,516,0.185166261570621,0.00172523794654656,0.0100736720741518,284,-0.260603206299736,0.260603206299736
"Z99572.1",-0.362371791071485,1.86005495774585e-17,2.31752017243098e-16,516,-0.101773870158222,0.0868952975860056,0.196738196077423,284,-0.260597920913264,0.260597920913264
"AC128687.1",0.082853234888425,0.0600081101419894,0.119852854972109,516,-0.177743271364033,0.00264582935140009,0.0140866178462594,284,0.260596506252458,0.260596506252458
"ZNF600",0.570015305534999,8.57725238285164e-46,4.14134670392882e-44,516,0.309421493924503,1.02262378101967e-07,1.94103895503861e-06,284,0.260593811610496,0.260593811610496
"MAP4",0.484445285762628,1.01137403473975e-31,2.71031928825823e-30,516,0.223856959873431,0.000142230825994742,0.00127713441733519,284,0.260588325889197,0.260588325889197
"GLTPD2",-0.206043965942159,2.36070711330774e-06,1.06780931650146e-05,516,0.0545374534729298,0.359819160741729,0.529467340379837,284,-0.260581419415089,0.260581419415089
"SRD5A1P1",-0.0496099374936614,0.260639509510045,0.394295606334208,516,0.210967107061942,0.000343625548647317,0.00268293162882883,284,-0.260577044555603,0.260577044555603
"ZNF175",0.258564219029682,2.50903321005335e-09,1.59632610732204e-08,516,-0.00197712217137678,0.973537315964398,0.985814915175349,284,0.260541341201059,0.260541341201059
"SEH1L",-0.0719409181489933,0.102608744257981,0.187703460764794,516,0.188598281150545,0.0014080332352059,0.00853437182588604,284,-0.260539199299538,0.260539199299538
"AC018659.8",0.217772552790551,5.88614872038689e-07,2.8776670477142e-06,516,-0.0427513971172606,0.472997769346718,0.634734367523439,284,0.260523949907812,0.260523949907812
"LINC01722",0.0341436886302279,0.438966139547202,0.579587149448662,516,-0.22635095375652,0.000119199005493012,0.00110200440140946,284,0.260494642386748,0.260494642386748
"AKR1B1P2",-0.0387695439002728,0.379472093573615,0.521562931268511,516,0.22171050720658,0.000165327406337689,0.00145490533347975,284,-0.260480051106853,0.260480051106853
"TMEM238L",0.15410379322995,0.0004429396834707,0.00144653171805661,516,-0.106365250946928,0.0735063789063751,0.174395502193966,284,0.260469044176878,0.260469044176878
"GCNT2",-0.204834856462346,2.71203739761246e-06,1.21669079279325e-05,516,0.0556247731764108,0.350306786467498,0.520236487606452,284,-0.260459629638757,0.260459629638757
"TIMM23",-0.0508475679176051,0.248918810551232,0.380765570724334,516,0.209589618798901,0.000376449411271672,0.00289821182719014,284,-0.260437186716506,0.260437186716506
"CCL26",0.142214847664795,0.00119888986780884,0.00363144705213884,516,0.402634696722019,1.70989232417316e-12,6.13661356342146e-11,284,-0.260419849057224,0.260419849057224
"AD001527.1",0.175484769644436,6.1307355917418e-05,0.000229738895066724,516,-0.0849306241444371,0.153423042237514,0.294645218239864,284,0.260415393788873,0.260415393788873
"SDSL",0.150998237635416,0.000578596550281816,0.00185082093555889,516,0.411406957646942,5.01015199319495e-13,1.9115242987191e-11,284,-0.260408720011526,0.260408720011526
"AP003717.1",0.203302512481932,3.22955053659429e-06,1.43484498122491e-05,516,-0.0570949268590464,0.337700049430209,0.507241588765517,284,0.260397439340978,0.260397439340978
"RN7SKP224",-0.0155589505713662,0.724391618400596,0.817837671395827,516,-0.275954483951803,2.33579924360008e-06,3.39604898721681e-05,284,0.260395533380437,0.260395533380437
"IRF7",0.599878731385653,9.55708940302119e-52,5.64147897038735e-50,516,0.339484030835562,4.32825146484065e-09,1.02138829088112e-07,284,0.260394700550091,0.260394700550091
"AC011466.3",0.137906486585806,0.00168918074377883,0.00497101007484944,516,-0.122483980874562,0.0391310337890245,0.109582315706328,284,0.260390467460368,0.260390467460368
"AC079296.1",-0.286108520986588,3.53640296844047e-11,2.70258306399041e-10,516,-0.0257471652160406,0.665700034764006,0.787974418292725,284,-0.260361355770547,0.260361355770547
"AC148477.7",-0.228087602786121,1.62513995252132e-07,8.47290175722849e-07,516,0.0322635819743295,0.588191552227926,0.729863122747079,284,-0.26035118476045,0.26035118476045
"AC079193.2",0.134190888810647,0.00225311913602305,0.00646457174630902,516,-0.126141815365773,0.0335950398627649,0.0978687519790128,284,0.26033270417642,0.26033270417642
"TFPI",0.429049728231967,1.59592154066759e-24,2.9823090887811e-23,516,0.168737999879508,0.00435056962745405,0.0207763089870218,284,0.260311728352459,0.260311728352459
"H2BC7",-0.00326982993378277,0.940933741530166,0.963446158176952,516,-0.263580141814248,6.7251089162456e-06,8.76654417956271e-05,284,0.260310311880465,0.260310311880465
"DENND6A-AS1",0.185868111054846,2.14772610408503e-05,8.56044558991514e-05,516,-0.0744410523186931,0.21104171586571,0.368909303635616,284,0.260309163373539,0.260309163373539
"NCKIPSD",-0.146625964587759,0.000835685278005998,0.002599884185474,516,0.113666189062962,0.0557104637054022,0.142165852543938,284,-0.260292153650721,0.260292153650721
"AC020911.3",0.0841167920228827,0.0561953593003225,0.113303306525609,516,-0.176159646786093,0.00289254501488813,0.0151274516105207,284,0.260276438808976,0.260276438808976
"AC090877.2",-0.0747645454166212,0.0897760227196374,0.168456032002094,516,0.185503034804383,0.00169144282650602,0.00990677331560008,284,-0.260267580221004,0.260267580221004
"IGSF10",0.367293658828127,6.33051093235285e-18,8.14246113569091e-17,516,0.107032107955993,0.0717093758191124,0.171246777663288,284,0.260261550872134,0.260261550872134
"AL096840.2",0.13269834630278,0.00252454253286017,0.00716977186787009,516,-0.127555087846554,0.0316422222348186,0.0936288283158946,284,0.260253434149333,0.260253434149333
"ATP5MC2P1",-0.0737999811508947,0.0940064763767671,0.174831929448558,516,0.186425375461095,0.00160196351425092,0.00948013108296098,284,-0.26022535661199,0.26022535661199
"EEF1B2",-0.0145197407477388,0.742123514066728,0.830445872214124,516,0.245687552879112,2.83307809175703e-05,0.000313092580404751,284,-0.260207293626851,0.260207293626851
"LURAP1L-AS1",0.194460174898584,8.62251322017898e-06,3.62178893836814e-05,516,-0.0657424101453391,0.269497932803927,0.435189708102422,284,0.260202585043924,0.260202585043924
"Z97192.4",-0.185753058434078,2.17353369229609e-05,8.6547608240994e-05,516,0.0744378998622409,0.211061101403381,0.368931845906753,284,-0.260190958296319,0.260190958296319
"SMIM38",0.000471527441897035,0.991474710777223,0.994848629243402,516,-0.259719420190384,9.25495018677458e-06,0.000116579970799415,284,0.260190947632282,0.260190947632282
"CBLN4",-0.238341791508631,4.25026002267682e-08,2.37512552122897e-07,516,0.0218043990182494,0.714456734719529,0.821991792421441,284,-0.26014619052688,0.26014619052688
"CYP1B1",0.14629654935169,0.000858812088659789,0.00266771987795448,516,0.40643691047157,1.00881380398165e-12,3.7239640992694e-11,284,-0.26014036111988,0.26014036111988
"INCA1",-0.11657246127865,0.00803399583803329,0.020511070587352,516,0.143554576482514,0.0154732745873216,0.0546282892646912,284,-0.260127037761164,0.260127037761164
"LINC00924",0.0640373350884871,0.146331492446506,0.25076918779495,516,0.324156881029528,2.26586871214797e-08,4.78670028049749e-07,284,-0.260119545941041,0.260119545941041
"MXD3",0.0913645052492628,0.0380133913741872,0.0809123772463907,516,-0.168753192392218,0.00434700625068709,0.0207627803175147,284,0.260117697641481,0.260117697641481
"DNAJC5",-0.0949164421176159,0.0311049802516912,0.0679565084657264,516,0.165188190702706,0.0052590869795287,0.0241376212346397,284,-0.260104632820322,0.260104632820322
"DGCR8",0.167861334362131,0.000127599653836095,0.000454710686056257,516,-0.0922384595839871,0.120929852372877,0.248927119082207,284,0.260099793946118,0.260099793946118
"AC004466.1",0.186889316577182,1.93106390670989e-05,7.74605774010852e-05,516,-0.0731977780519213,0.218786692891148,0.378410183688573,284,0.260087094629103,0.260087094629103
"BARHL1",-0.275335012328431,1.98330584782148e-10,1.40611107742574e-09,516,-0.0152935318206057,0.797480237293513,0.878412797271996,284,-0.260041480507825,0.260041480507825
"ZNF56",0.0375169794311721,0.395072399908266,0.536633122778087,516,-0.222509017280173,0.000156353108781763,0.00138663986396656,284,0.260025996711346,0.260025996711346
"RESP18",-0.242934248486552,2.2842974917001e-08,1.31273906005728e-07,516,0.0170724996513887,0.77452364037865,0.863335684475402,284,-0.260006748137941,0.260006748137941
"FRYL",0.282426015854403,6.42932817626108e-11,4.77893655269953e-10,516,0.0224210054824016,0.706748611168169,0.816660468070981,284,0.260005010372001,0.260005010372001
"CBLC",-0.0255387699247159,0.562712775894743,0.69149896504394,516,0.234439270061799,6.63102360644509e-05,0.000660754478491131,284,-0.259978039986515,0.259978039986515
"PRICKLE2",-0.109660050689738,0.0126855452400172,0.0308064283446743,516,0.150288546454848,0.0112140528996516,0.0429724623686819,284,-0.259948597144586,0.259948597144586
"NRN1",-0.258004768509747,2.72245080436481e-09,1.72298866669698e-08,516,0.0019132088420424,0.974392463349248,0.986276779311612,284,-0.259917977351789,0.259917977351789
"AC078925.2",-0.245636745615747,1.57578798901393e-08,9.21891459065717e-08,516,0.0142634190587864,0.810854771901193,0.886809520634084,284,-0.259900164674534,0.259900164674534
"GYPB",0.0953051604578065,0.0304186422027821,0.0666451875844464,516,-0.164591592875753,0.00542750176819894,0.0247586760165763,284,0.259896753333559,0.259896753333559
"ORC4",-0.202553510351231,3.51565597835094e-06,1.55328423176148e-05,516,0.0573407340079158,0.335620871766508,0.505373753560841,284,-0.259894244359146,0.259894244359146
"IPO7P1",-0.111220564207078,0.0114659963273744,0.028163207032032,516,0.148664206507617,0.0121335070342508,0.0455827151407616,284,-0.259884770714695,0.259884770714695
"LINC02529",0.220895467492122,4.01273617044415e-07,2.00179688276722e-06,516,-0.0389775678146597,0.512974381533093,0.669825388040107,284,0.259873035306781,0.259873035306781
"AC005520.2",-0.046207191925523,0.294804621167172,0.432850082236868,516,0.213662783844596,0.000286956787334445,0.00231356111847802,284,-0.259869975770119,0.259869975770119
"RNU2-23P",0.0890818050497816,0.0431077111446999,0.0902861378568604,516,-0.170762703235788,0.00389823496203553,0.0190683255815385,284,0.259844508285569,0.259844508285569
"XPO1",0.233518144074992,8.04965750109234e-08,4.34361640934385e-07,516,-0.026313955894564,0.65879940529977,0.782746265234461,284,0.259832099969556,0.259832099969556
"HOXA2",0.326684731717538,2.68404373232222e-14,2.67887481418047e-13,516,0.0668658463212821,0.26138190435285,0.426297868334025,284,0.259818885396255,0.259818885396255
"ZNF248",-0.305518409426494,1.30745578935674e-12,1.12969539609286e-11,516,-0.045705364790566,0.442936148170607,0.607846056886484,284,-0.259813044635928,0.259813044635928
"SLIT2",-0.102263750676481,0.0201551841060303,0.0464748155162968,516,0.157545309049761,0.00781586481559974,0.0326583081982517,284,-0.259809059726241,0.259809059726241
"AL357075.2",0.160542161361556,0.00025049758488893,0.000852769619619171,516,-0.0992667473836193,0.0949943387879392,0.209938116526718,284,0.259808908745176,0.259808908745176
"LRFN2",-0.307298751777945,9.54131878363571e-13,8.34363218895302e-12,516,-0.0475080972270106,0.425137416643244,0.5917200044397,284,-0.259790654550934,0.259790654550934
"PSMD8",0.395785042486047,8.49066568773294e-21,1.30020654748095e-19,516,0.1359960394691,0.0218826595345587,0.0710280592223702,284,0.259789003016946,0.259789003016946
"DCTN4",-0.00854906990608038,0.846387211656635,0.902290199726273,516,0.251224437942515,1.83612710057686e-05,0.00021371857783291,284,-0.259773507848595,0.259773507848595
"AC005730.3",0.195267299185503,7.89751067943232e-06,3.33910841847026e-05,516,-0.0645021518162003,0.278655756039123,0.44484758268217,284,0.259769451001703,0.259769451001703
"AC097637.2",0.28896142588859,2.21215723885556e-11,1.72059719923158e-10,516,0.0292016711852814,0.624098917113885,0.757446098208585,284,0.259759754703308,0.259759754703308
"NT5DC4",-0.00460079277009506,0.916965386878126,0.948184943898743,516,0.255149612742537,1.34190037934623e-05,0.000161756473208385,284,-0.259750405512632,0.259750405512632
"API5",0.0019962503596668,0.963919069276246,0.978406526105329,516,0.261744467175005,7.83261478403393e-06,0.000100580186411286,284,-0.259748216815338,0.259748216815338
"LMCD1",0.47422376058551,2.71675775638474e-30,6.88834660753728e-29,516,0.214488446419997,0.000271424445461837,0.00221090942479073,284,0.259735314165512,0.259735314165512
"B3GAT3",0.077345988858949,0.0792024567436409,0.151844765828338,516,0.337042751206888,5.66864817652274e-09,1.31531147566924e-07,284,-0.259696762347939,0.259696762347939
"ATP5PO",-0.142324964359769,0.00118828203451341,0.00360279306632121,516,0.117363732328881,0.0481593459218847,0.127657005007334,284,-0.25968869668865,0.25968869668865
"STX18",0.433348788151348,4.90278399883443e-25,9.43013860667878e-24,516,0.173661945636998,0.00332434770936851,0.016855379823598,284,0.259686842514349,0.259686842514349
"AL096869.2",0.104653261787148,0.0174052664707264,0.0408203972349319,516,-0.154996974566045,0.00888713646074199,0.0360146993264214,284,0.259650236353193,0.259650236353193
"AC027031.2",-0.129868993829093,0.00312236136118967,0.00869792966393637,516,0.129779682371708,0.0287647131028791,0.0871789950670402,284,-0.259648676200801,0.259648676200801
"BUD31",0.381231630571664,2.70059516396686e-19,3.76689682488029e-18,516,0.121583059824448,0.0406071040388288,0.112688926062941,284,0.259648570747216,0.259648570747216
"TMEM191C",-0.220661968874527,4.13015380238968e-07,2.05782782193328e-06,516,0.0389730014536389,0.513023791906181,0.669825388040107,284,-0.259634970328166,0.259634970328166
"AC007993.2",-0.197848408300087,5.94912357564939e-06,2.554320437121e-05,516,0.0617439094166777,0.299769677859737,0.468348303004182,284,-0.259592317716765,0.259592317716765
"TSPAN15",0.111783818707277,0.0110519943993824,0.0272577260692211,516,0.371362113540458,1.02441795670599e-10,2.99568477380773e-09,284,-0.259578294833181,0.259578294833181
"AL353151.2",-0.203336074423035,3.21726642542073e-06,1.42994962736776e-05,516,0.0562231417401263,0.345140303602702,0.515015249998855,284,-0.259559216163161,0.259559216163161
"MTMR6",-0.0685841501211747,0.119711253632679,0.213129796059366,516,0.190960978816922,0.00122177337350302,0.00763078144769281,284,-0.259545128938097,0.259545128938097
"AC093893.1",0.207802003019324,1.92660622821978e-06,8.80905806866559e-06,516,-0.0517136223470282,0.385267906562533,0.55423513809922,284,0.259515625366352,0.259515625366352
"TMEM198",-0.374287028877436,1.32538039214634e-18,1.76793538920281e-17,516,-0.114785196206063,0.0533281205445542,0.137605964173974,284,-0.259501832671373,0.259501832671373
"GLRX3",-0.058179452426037,0.18700338435299,0.304490925966587,516,0.201296078498142,0.000644087652345063,0.00453157114610299,284,-0.259475530924179,0.259475530924179
"AP000962.2",0.10123650131566,0.0214490199817201,0.0490656646198564,516,-0.158218906379987,0.00755265162325899,0.0317968702865309,284,0.259455407695647,0.259455407695647
"ZNF84-DT",0.0870797215618243,0.0480381636450217,0.099084412971773,516,-0.172373144210096,0.003569278783924,0.0177846847919426,284,0.259452865771921,0.259452865771921
"VASP",0.769985006067579,2.28403486195767e-102,3.77273138558044e-100,516,0.510604635811896,2.92695258927906e-20,1.95295071356028e-18,284,0.259380370255684,0.259380370255684
"BCL2L15",0.170417680996558,0.00010014086341019,0.00036277141945011,516,-0.0889555904401381,0.134794213653841,0.269044118617832,284,0.259373271436696,0.259373271436696
"NDUFAF4",-0.216513680854856,6.85825762114685e-07,3.32729157743221e-06,516,0.0428570305971967,0.471903866048824,0.633768597820491,284,-0.259370711452053,0.259370711452053
"IL36RN",-0.0287222752896475,0.515048621513483,0.650239388502171,516,0.230643746457269,8.75428050556742e-05,0.000839229912614665,284,-0.259366021746916,0.259366021746916
"AL133444.1",0.169121701556888,0.000113279967759962,0.000407183676427081,516,-0.0902391928884449,0.1292344361323,0.260947617576506,284,0.259360894445333,0.259360894445333
"PLCG1-AS1",0.154186994292303,0.00043975007202099,0.00143677971767136,516,-0.105149489760704,0.0768767197690233,0.180180901481321,284,0.259336484053008,0.259336484053008
"MAF",0.741361920954469,4.42565864387372e-91,6.20371916752035e-89,516,0.482028043282945,6.25720454649443e-18,3.59302589958702e-16,284,0.259333877671524,0.259333877671524
"Z73420.1",0.224502156898309,2.5598908882001e-07,1.30326961216035e-06,516,-0.0348172488971349,0.558991494186633,0.70643461888984,284,0.259319405795444,0.259319405795444
"RN7SKP37",0.0370224929368289,0.401336013307719,0.543051874961469,516,-0.22229437441568,0.000158719541478275,0.00140429097787286,284,0.259316867352509,0.259316867352509
"NOVA2",-0.211377452271394,1.26754483749511e-06,5.93738602113897e-06,516,0.0479334253615425,0.420999472658908,0.587932739374398,284,-0.259310877632937,0.259310877632937
"FIBIN",0.358833797614758,3.99055330070666e-17,4.84171706422294e-16,516,0.0995350567230798,0.0940998403818835,0.208439359648898,284,0.259298740891678,0.259298740891678
"PPIL3",-0.0593420466247833,0.178331751867854,0.293219402007362,516,0.199949183664382,0.000701405218837358,0.00486499315281431,284,-0.259291230289165,0.259291230289165
"SGMS1-AS1",-0.113914373122074,0.00960326438559876,0.024033048704508,516,0.145374291829087,0.014201473558959,0.0513010973425495,284,-0.259288664951161,0.259288664951161
"AC025171.5",0.254737144867841,4.36883548840959e-09,2.70317508845286e-08,516,-0.00453627474349538,0.939331667302143,0.966552511861137,284,0.259273419611336,0.259273419611336
"DTX2P1-UPK3BP1-PMS2P11",0.188217294028408,1.68023121068724e-05,6.7914955153787e-05,516,-0.0710228441044958,0.232819728018767,0.394437545637195,284,0.259240138132904,0.259240138132904
"CHURC1",0.0437520344361266,0.321236587822819,0.461575694255961,516,0.302988472026131,1.92512159357121e-07,3.4808941587575e-06,284,-0.259236437590004,0.259236437590004
"AC034102.6",0.071286425459417,0.105781736988672,0.19246536357159,516,-0.187931480684045,0.00146512331884867,0.00881648464379264,284,0.259217906143462,0.259217906143462
"EEF1B2P6",0.0401259031003114,0.363011781574666,0.505332509128273,516,0.299341745095831,2.73709122886648e-07,4.81728056280501e-06,284,-0.259215841995519,0.259215841995519
"LINC01494",-0.497447534350744,1.30606211920682e-33,3.79824151548891e-32,516,-0.238251162601128,4.99352858858691e-05,0.000514914045354596,284,-0.259196371749616,0.259196371749616
"AC012325.1",0.105654785082187,0.0163539900104634,0.0386452459500163,516,-0.153533045921375,0.00955986506851068,0.038124111498751,284,0.259187831003562,0.259187831003562
"UQCR10",0.0156244257805056,0.72327923071936,0.817044613313217,516,0.274808456466903,2.58181734583261e-06,3.70821507013371e-05,284,-0.259184030686397,0.259184030686397
"LINC02217",-0.162733297906774,0.000205303450796083,0.000708219176778304,516,0.0964456127811444,0.10481507903769,0.224790719928117,284,-0.259178910687918,0.259178910687918
"AC135782.3",0.132758104103435,0.00251312625287883,0.00714273571902686,516,-0.126417998866446,0.0332055545756647,0.0970773652104596,284,0.259176102969881,0.259176102969881
"ZNF320",0.213693391522294,9.62714223513772e-07,4.5832369122296e-06,516,-0.0454669995049336,0.445320882431156,0.610043894270721,284,0.259160391027228,0.259160391027228
"AC012213.5",-0.353237395357012,1.30924142706331e-16,1.54309112155714e-15,516,-0.094086758476172,0.113627495386981,0.238116094135292,284,-0.25915063688084,0.25915063688084
"RARS1",0.325525676895808,3.34730756903492e-14,3.31858111411639e-13,516,0.0663949477037041,0.264763117775293,0.430011248479798,284,0.259130729192104,0.259130729192104
"ITPKB-AS1",0.177217455175599,5.1673133168042e-05,0.00019547759765592,516,-0.081886271733338,0.168760339317546,0.315146434844093,284,0.259103726908937,0.259103726908937
"CBY1",0.432515350350782,6.17143898987979e-25,1.18019891664624e-23,516,0.173439296743825,0.00336554171782574,0.0170167963121313,284,0.259076053606956,0.259076053606956
"RNU6-33P",-0.0366440177204183,0.406170041697186,0.547899895542187,516,-0.295717396225607,3.86467704106115e-07,6.59361225781045e-06,284,0.259073378505188,0.259073378505188
"KDM5C-IT1",0.0207972616622383,0.637406353415909,0.752418135883027,516,-0.238256350570796,4.99158558507546e-05,0.000514807070646534,284,0.259053612233035,0.259053612233035
"BUD13P1",0.258804165701682,2.42256122276715e-09,1.54322176404307e-08,516,-0.000245437726528945,0.996714362079579,0.997908031974285,284,0.259049603428211,0.259049603428211
"AC018637.1",-0.291193907758914,1.52676113354402e-11,1.20340816513235e-10,516,-0.0321593019399134,0.589398704412135,0.730552465992521,284,-0.259034605819001,0.259034605819001
"INSM1",-0.194229617883783,8.84098842471849e-06,3.7083180657913e-05,516,0.0647944950716013,0.276478411021551,0.442589679819585,284,-0.259024112955385,0.259024112955385
"AL807761.4",0.0573868759324988,0.193090596090434,0.312323002541008,516,-0.201628446991437,0.000630626357947486,0.00445727305689403,284,0.259015322923936,0.259015322923936
"RPS6P26",-0.0642574950418985,0.144946286604418,0.248812199597987,516,0.194741594260537,0.000970263575670934,0.00633703397860079,284,-0.258999089302435,0.258999089302435
"AJAP1",-0.182423786395185,3.06135156055487e-05,0.000119408141274118,516,0.0765540438419386,0.198334812315121,0.353335550313068,284,-0.258977830237123,0.258977830237123
"AL512274.1",0.203579105476941,3.12963783424111e-06,1.39308463394622e-05,516,-0.055368717966957,0.352532468859227,0.522330217621699,284,0.258947823443898,0.258947823443898
"AL451065.1",0.264593202560667,1.02824770446162e-09,6.79536044369926e-09,516,0.00564709485303694,0.924515331167811,0.957912870379247,284,0.25894610770763,0.25894610770763
"DLK2",-0.310593285532504,5.29622130214836e-13,4.75355636446875e-12,516,-0.0516624014123798,0.385739393957769,0.554653353574145,284,-0.258930884120124,0.258930884120124
"RNA5SP184",-0.131130658230421,0.00284145854063432,0.00798313196493626,516,0.127790928745363,0.0313259586337354,0.092939726340514,284,-0.258921586975784,0.258921586975784
"KIF13B",0.40905681013648,3.10634632697134e-22,5.17336705061727e-21,516,0.150191609018066,0.0112671456219979,0.0431268380261989,284,0.258865201118414,0.258865201118414
"THBS4-AS1",0.298377339407541,4.52817647297304e-12,3.73214498299854e-11,516,0.0395162546155452,0.50716286408984,0.664603000503596,284,0.258861084791996,0.258861084791996
"RNY3P3",0.0914000483182574,0.0379382915149651,0.0807743558548946,516,-0.167455833033739,0.00466096159882161,0.0219379321882605,284,0.258855881351996,0.258855881351996
"GPR148",-0.345667912239669,6.29178421567234e-16,7.09581118242256e-15,516,-0.0868120974445547,0.144485993499463,0.282559756533294,284,-0.258855814795114,0.258855814795114
"AC004863.1",0.161662668885304,0.000226336276080683,0.000776878416017945,516,-0.0971896980041352,0.102150129501523,0.220824830281118,284,0.258852366889439,0.258852366889439
"PYY",-0.138942290508006,0.0015568802989745,0.00461189592504961,516,0.119882915091419,0.0435206553009958,0.118727551729656,284,-0.258825205599424,0.258825205599424
"AC084706.1",0.184054755599445,2.59043630709951e-05,0.000102033424504503,516,-0.0747594018030496,0.209090666017316,0.366524396600444,284,0.258814157402494,0.258814157402494
"AC004223.4",0.240955922362666,2.98943515079804e-08,1.69707749074196e-07,516,-0.0178517730757149,0.764527693543349,0.856746049055813,284,0.258807695438381,0.258807695438381
"PGAM1P11",0.0977623012199595,0.0263734138579494,0.0588389290410892,516,-0.161017632284796,0.00654170930304804,0.0285822066297498,284,0.258779933504755,0.258779933504755
"CRLF3",0.390975541739507,2.71511633447028e-20,4.03418297871017e-19,516,0.132219669617814,0.0258692097415296,0.0804734990311218,284,0.258755872121693,0.258755872121693
"RNU6ATAC27P",0.0660940637914479,0.133778384741612,0.233299624376822,516,-0.192652379264516,0.0011026434539549,0.00701938130687888,284,0.258746443055964,0.258746443055964
"LINC01378",-0.268775094885738,5.46516329394914e-10,3.71474599492818e-09,516,-0.0100602190569458,0.865958382356794,0.922296770540841,284,-0.258714875828792,0.258714875828792
"AC136475.7",0.295204285407431,7.77870495796064e-12,6.28201317770057e-11,516,0.0365145630391226,0.539978936644265,0.691258643690255,284,0.258689722368309,0.258689722368309
"AC083805.1",0.225512388355052,2.25398809621486e-07,1.15481626649078e-06,516,-0.0331526995013755,0.577945545873281,0.721573273257925,284,0.258665087856427,0.258665087856427
"AP003119.2",-0.161921499538233,0.000221074189762241,0.000759838285097271,516,0.0967362418354976,0.103767726731257,0.223153253710183,284,-0.258657741373731,0.258657741373731
