"gene","rho_LGG","p_value_LGG","FDR_LGG","n_LGG","rho_GBM","p_value_GBM","FDR_GBM","n_GBM","delta_rho_LGG_minus_GBM","abs_delta_rho"
"MTRNR2L12",-0.372331786592321,2.06003773792919e-18,2.7215526626136e-17,516,0.215810747343478,0.000248172754596097,0.00205030151915113,284,-0.588142533935799,0.588142533935799
"UBE2E2",-0.321737131772921,6.84422298911402e-14,6.62389927836286e-13,516,0.265978463303533,5.50117282745132e-06,7.32390334648601e-05,284,-0.587715595076455,0.587715595076455
"TNFSF9",-0.118300834905237,0.00714062261492535,0.0184368989505804,516,0.469137458187848,5.99993085068358e-17,3.21777423584585e-15,284,-0.587438293093084,0.587438293093084
"AC119674.1",0.403448340250415,1.28016661450989e-21,2.0574080290264e-20,516,-0.183409872204732,0.00191171525516536,0.0109208696328762,284,0.586858212455148,0.586858212455148
"AL162385.2",0.332738248250358,8.34043939946066e-15,8.64830694043562e-14,516,-0.254068453838814,1.46369827937337e-05,0.000174733976870679,284,0.586806702089173,0.586806702089173
"BASP1",-0.375687941566944,9.64507869185608e-19,1.29605171356242e-17,516,0.210208844661796,0.000361349005974055,0.00280015925458194,284,-0.58589678622874,0.58589678622874
"AL049836.1",-0.365830432277757,8.73859305132276e-18,1.11232956300648e-16,516,0.219361313937704,0.000194604020304758,0.00166871408247286,284,-0.585191746215461,0.585191746215461
"PTGES",-0.244603048799874,1.81720016350985e-08,1.05634342906807e-07,516,0.340296568325706,3.95447957035223e-09,9.37074842081632e-08,284,-0.584899617125581,0.584899617125581
"FNBP1L",0.549505229282849,4.81094807790901e-42,2.02666120707798e-40,516,-0.0352178161024918,0.554475508393677,0.702593267380221,284,0.58472304538534,0.58472304538534
"APOL4",0.67212880607334,4.30365926957302e-69,4.06551865882023e-67,516,0.0875879790552876,0.140918290892522,0.277617237339135,284,0.584540827018052,0.584540827018052
"TICRR",0.313303171795928,3.24552242824914e-13,2.95618844718191e-12,516,-0.271210450353226,3.52525018520852e-06,4.90944200217378e-05,284,0.584513622149154,0.584513622149154
"KIF2C",0.406922237377887,5.34193786954079e-22,8.78008182101334e-21,516,-0.177430736548733,0.00269294853232946,0.0142766705367775,284,0.584352973926619,0.584352973926619
"H2AC20",0.293648234846677,1.01177956750187e-11,8.09810704842001e-11,516,-0.290656866622835,6.20703092466744e-07,1.02011359932204e-05,284,0.584305101469513,0.584305101469513
"MT-ND2",-0.327708712702605,2.20657321577282e-14,2.21405910359188e-13,516,0.25607346889595,1.24550427966097e-05,0.000151259190963826,284,-0.583782181598554,0.583782181598554
"TCEAL1",-0.304996010774599,1.4334974031453e-12,1.23331863845692e-11,516,0.278659496499174,1.84078422461236e-06,2.7480278781713e-05,284,-0.583655507273772,0.583655507273772
"MTRNR2L8",-0.322399556798337,6.04401250516799e-14,5.87460960821482e-13,516,0.260829773133875,8.44721410407519e-06,0.000107669781925665,284,-0.583229329932211,0.583229329932211
"STXBP1",-0.522953964025437,1.46579110652677e-37,5.11451546626336e-36,516,0.0599014582192803,0.31444984779724,0.483562229761071,284,-0.582855422244718,0.582855422244718
"CTBP2P8",0.423330577980571,7.47479224618854e-24,1.34993123011329e-22,516,-0.159389889644731,0.0071138458080901,0.0303951827507182,284,0.582720467625301,0.582720467625301
"AGO3",0.439685852798559,8.34425129672709e-26,1.6786862535734e-24,516,-0.142604782498225,0.0161758677087144,0.056507539210478,284,0.582290635296785,0.582290635296785
"MTCO3P12",-0.387529143191746,6.1727974506472e-20,8.97805099857134e-19,516,0.194251467518146,0.000999933994537446,0.0065009432435344,284,-0.581780610709892,0.581780610709892
"CBX7",-0.224107948275411,2.68979134611128e-07,1.36657076115813e-06,516,0.357628914708309,5.40860004855955e-10,1.45032120547412e-08,284,-0.581736862983719,0.581736862983719
"SNCB",-0.524154247221348,9.37215020980573e-38,3.31315480289196e-36,516,0.0573485922041455,0.335554538158301,0.505314023449618,284,-0.581502839425494,0.581502839425494
"HRH3",-0.584235836694318,1.49775038537849e-48,7.87064344375963e-47,516,-0.00292263772963663,0.960890568797905,0.978993297273156,284,-0.581313198964681,0.581313198964681
"AC016134.1",0.451576413379118,2.71637076639891e-27,5.88158301895903e-26,516,-0.129147510305218,0.0295586885366603,0.0889734367220197,284,0.580723923684337,0.580723923684337
"FBXO41",-0.50597587873611,6.79533139616213e-35,2.11152401485476e-33,516,0.0746308612321128,0.209876874801987,0.367460672602894,284,-0.580606739968223,0.580606739968223
"GABRB3",-0.552580310809325,1.36972494254422e-42,5.88419252694034e-41,516,0.0274340251692956,0.645247754483841,0.772775987765993,284,-0.58001433597862,0.58001433597862
"CLTB",-0.371202121135014,2.65426580366025e-18,3.49027303339318e-17,516,0.208598962194218,0.00040183264690214,0.00306129486881437,284,-0.579801083329232,0.579801083329232
