"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","cohort"
"HALLMARK_KRAS_SIGNALING_UP",4.77620486759677e-16,2.17100221254399e-15,1.02766987054358,0.624115113848896,2.05626612158234,200,"LAPTM5;ITGB2;LAT2;DOCK2;IKZF1;CD37;FCER1G;C3AR1;CSF2RA;LCP1;CTSS;TNFRSF1B;IL10RA;IRF8;GYPC;PDCD1LG2;MAP4K1;TLR8;LY96;SPP1;ST6GAL1;FUCA1;PLVAP;PLAUR;GLRX;EMP1;CLEC4A;TMEM176B;PLAU;CCL20;TNFAIP3;F2RL1;IL2RG;CXCR4;EVI5;PIGR;TMEM176A;CROT;PSMB8;TRIB1;ENG;RGS16;SERPINA3;GPNMB;CXCL10;SDCCAG8;PECAM1;ITGA2;SOX9;IL7R;MAFB;PRDM1;TFPI;DCBLD2;GFPT2;AKT2;IL1B;MTMR10;CFB;EPHB2;YRDC;FBXO4;PLEK2;SPRY2;PLAT;BPGM;MAP3K1;F13A1;LIF;GALNT3;CMKLR1;PPP1R15A;BIRC3;JUP;TRAF1;TPH1;TSPAN1;ALDH1A2;PRRX1;ADAM17;PTBP2;TOR1AIP2;CFH;ATG10;IL33;HBEGF;VWA5A;CBL;MMP10","TCGA-LGG"
"HALLMARK_COAGULATION",1.29105948272464e-15,5.37941451135267e-15,1.01754479730988,0.681676812477845,2.20210383393871,138,"C3;PLEK;SERPINA1;OLR1;C1QA;CTSB;A2M;C2;APOC2;MMP14;C1R;GSN;ANG;GNG12;PLAU;PDGFB;ITGB3;LEFTY2;CTSH;WDR1;CFI;APOC1;LGMN;MEP1A;CFD;ANXA1;ADAM9;MMP7;PEF1;CPQ;SERPING1;RAC1;C1S;CLU;PECAM1;ITGA2;GNB2;DUSP14;CD9;ACOX2;CFB;SERPINE1;PROS1;PRSS23;LAMP2;F3;PLAT;CAPN5;ARF4;FN1;TMPRSS6;MMP2;LTA4H;TIMP1;BMP1;COMP;TIMP3;CFH;MMP10;SIRT2;DPP4;ITIH1;FGG;KLF7;TFPI2;SPARC;MMP11;FURIN;CAPN2;CASP9;KLKB1;F2RL2;PROC;LRP1;MMP9;C8B;CSRP1;THBD;HPN;SERPINC1;F8;CTSO;GP9;S100A13;C8A;VWF","TCGA-LGG"
"HALLMARK_E2F_TARGETS",3.332314023804e-14,1.28165923992462e-13,0.965327754226083,0.608410275944074,2.00452354170877,200,"SHMT1;AK2;PPP1R8;DCLRE1B;CHEK2;RPA2;USP1;NCAPD2;BARD1;MCM5;KIF2C;RFC2;POLD1;CDC20;H2AX;NASP;RPA1;MCM3;CDCA8;GINS4;EED;ANP32E;BRCA1;RPA3;DCK;PCNA;PHF5A;UNG;LYAR;DEK;CTPS1;MMS22L;HMGA1;ZW10;PRIM2;TUBB;POLE4;POLD3;WEE1;RFC1;GINS3;SNRPB;RAD51AP1;DEPDC1;TACC3;DLGAP5;SMC4;POLA2;KPNA2;NUP205;HMGB2;BRCA2;E2F8;ASF1B;HUS1;PSMC3IP;CHEK1;TK1;TIPIN;CCNB2;CENPE;NBN;XPO1;AURKB;LBR;DIAPH3;MELK;LMNB1;HNRNPD;MRE11;CKS1B;DSCC1;DONSON;CSE1L;KIF4A;SRSF2;PRDX4;PTTG1;BIRC5;CDKN2C;UBE2S;PRKDC;TOP2A;LIG1;CCNE1;STAG1;PLK1;TIMELESS;BUB1B;MCM2;RRM2;SYNCRIP;WDR90;MYBL2;NUP153;HMMR;ESPL1;TCF19;NUP107;GSPT1;TRA2B;CENPM;EZH2;RAD21;H2AZ1;AURKA;SRSF1;CDCA3;CDKN2A;TMPO;ATAD2;CDK1;MKI67;TFRC;CNOT9","TCGA-LGG"
"HALLMARK_HYPOXIA",7.90632999712845e-13,2.82368928468873e-12,0.921426003494898,0.600060939058602,1.97664171202599,199,"SLC2A5;FBP1;HMOX1;HK2;PLAUR;GLRX;CASP6;CP;PLAC8;PDGFB;AMPD3;TNFAIP3;CXCR4;ANXA2;PLIN2;KLF6;HS3ST1;S100A4;ZFP36;NAGK;PNRC1;PFKFB3;JUN;IER3;IL6;GPC4;GBE1;GAA;MYH9;PGM2;PHKG1;TKTL1;ENO1;ATF3;CCN1;NFIL3;GYS1;TIPARP;CAVIN1;PIM1;SAP30;LOX;EFNA1;FOS;PAM;CSRP2;SDC4;TGFBI;GCK;SERPINE1;LDHA;B3GALT6;CAV1;TES;CHST2;ATP7A;F3;DTNA;TPST2;MAP3K1;HSPA5;SULT2B1;PPP1R15A;ACKR3;MT2A;P4HA1;ISG20;FOSL2;DUSP1;NDRG1;GALK1;NDST1;LXN;EXT1;PDK3;SLC6A6;IRS2;TGFB3;BCL2;CITED2;KDELR3;PGM1;SDC2;KLF7;SDC3;GRHPR;PFKL;SIAH2;HEXA;GAPDH;HOXB9;P4HA2;STC1;STBD1;ERRFI1;COL5A1;CCN2;BHLHE40","TCGA-LGG"
"HALLMARK_P53_PATHWAY",8.65929203281425e-13,2.88643067760475e-12,0.921426003494898,0.599660282998392,1.97532192360245,199,"DEF6;RHBDF2;VAMP8;CEBPA;CASP1;TGFB1;HMOX1;SERTAD3;FUCA1;IRAG2;MAPKAPK3;ST14;S100A10;PLK3;NINJ1;SAT1;ITGB4;RNF19B;IL1A;STEAP3;IRAK1;ZFP36L1;S100A4;DNTTIP2;SLC35D1;RAP2B;IFI30;BAX;JUN;IER3;H2AJ;DDB2;RGS16;RB1;GM2A;WRAP73;ATF3;CTSD;BAK1;UPP1;RETSAT;GADD45A;VDR;PRMT2;KIF13B;FOS;PLXNB2;PROCR;SOCS1;PTPN14;RPL18;SEC61A1;STOM;SFN;HDAC3;SP1;PCNA;LIF;PVT1;TAP1;PPP1R15A;TOB1;RAD9A;MKNK2;CDKN2B;H1-2;SPHK1;ALOX15B;TRAFD1;NDRG1;F2R;NUPR1;HBEGF;VWA5A;INHBB;AK1;FAS;TM4SF1;PRKAB1;CD81;TPRKB;TNNI1;RRAD;TP63;TXNIP;PDGFA;NHLH2;HEXIM1;SLC7A11;NOL8;CLCA2;TM7SF3;CCNG1;BTG2","TCGA-LGG"
"HALLMARK_G2M_CHECKPOINT",1.86147965587493e-12,5.81712392460915e-12,0.898671232061694,0.595766839716479,1.96249665554466,199,"TGFB1;H2BC12;DR1;HMGN2;EGF;RPA2;MTF2;BARD1;BCL3;NOTCH2;SRSF10;MCM5;SAP30;KIF2C;STIL;CDC20;H2AX;NASP;MCM3;UPF1;E2F4;E2F2;MT2A;ATF5;RAD54L;CUL4A;SS18;KIF20B;HMGA1;DTYMK;PRIM2;CENPA;HIF1A;HOXC10;TACC3;SMC4;G3BP1;DMD;POLA2;KPNA2;BRCA2;ODF2;CCNA2;KMT5A;HUS1;NDC80;CHEK1;PML;CUL1;FANCC;CCNB2;CENPE;RBL1;XPO1;KATNA1;GINS2;AURKB;CHMP1A;KPNB1;LBR;UBE2C;SMAD3;LMNB1;HNRNPD;DKC1;CKS1B;SFPQ;CENPF;KIF4A;SRSF2;PTTG1;BIRC5;CDC7;CDKN2C;BUB1;KIF23;TTK;UBE2S;KNL1;CDC6;TOP2A;TROAP;STAG1;PLK1;MAP3K20;MCM2;HNRNPU;SYNCRIP;TPX2;MYBL2;POLQ;HMMR;ESPL1;NUSAP1;CDC27;KIF15;TLE3;GSPT1;TRA2B;E2F3;FBXO5;RAD23B;EZH2;RAD21;AMD1;DBF4;H2AZ1;KIF11;AURKA;SRSF1;TOP1;TMPO;CDK1;ODC1;MKI67;CDC45;FOXN3;NEK2;LIG3;ORC5;EWSR1;MAD2L1;EXO1;NUP98;PBK;CUL5;SMC2;MNAT1","TCGA-LGG"
"HALLMARK_MTORC1_SIGNALING",1.22708386846494e-10,3.60907020136748e-10,0.826657301178302,0.576145899648753,1.89786393902777,199,"ITGB2;DAPP1;CTSC;SLC1A5;SLA;CORO1A;HK2;FGL2;GLRX;SKAP2;NIBAN1;CXCR4;PSMC4;NFKBIB;LGMN;RIT1;PLOD2;GLA;IFI30;PSMC2;YKT6;NFYC;GBE1;SEC11A;PRDX1;XBP1;RPN1;ENO1;ACTR3;SERPINH1;NFIL3;CD9;ETF1;M6PR;MAP2K3;PNP;EIF2S2;LDHA;NAMPT;RPA1;TES;PSMA3;GSR;HSPA5;EDEM1;IGFBP5;SORD;HSP90B1;PPP1R15A;UNG;GGA2;WARS1;CALR;IFRD1;SQSTM1;P4HA1;LTA4H;BCAT1;UBE2D3;SSR1;G6PD;ACTR2;PHGDH;NUPR1;TOMM40;PSAT1;NUP205;NMT1;USO1;SDF2L1;SLC6A6;CTH;PNO1;PSMA4;MTHFD2L;CANX;PGM1;ADD3;IDH1;PSMD12;PFKL;SERP1;BUB1;SLC7A11;PDAP1;CCNG1;BTG2;GAPDH;COPS5;PLK1;STC1;PIK3R3;IMMT;CCT6A;MCM2;BHLHE40;HSPE1;RRM2;TCEA1;RAB1A;EPRS1;TBK1;CYB5B;PSME3;HSPA4;FADS2;TXNRD1;FKBP2;AURKA;ABCF2;SLC37A4;TFRC","TCGA-LGG"
"HALLMARK_MITOTIC_SPINDLE",2.79562982613203e-10,7.76563840592232e-10,0.814035837847908,0.569504609990481,1.8739635487736,198,"DOCK2;ARHGAP4;CAPZB;WASF2;ARHGAP27;CDC42;GSN;CD2AP;PALLD;NCK2;PREX1;VCL;FLNA;STK38L;MYO1E;MYO9B;EPB41L2;PXN;CNTRL;MYH9;SASS6;NOTCH2;ARF6;PLEKHG2;ROCK1;ACTN4;BIN1;AKAP13;KIF2C;TUBD1;FSCN1;CDK5RAP2;SSH2;SEPTIN9;EPB41;CDC42EP1;EZR;DOCK4;MAP3K11;RAPGEF6;KIF20B;CLIP1;RFC1;SUN2;RALBP1;LLGL1;DLGAP5;SMC4;FLNB;BRCA2;UXT;NDC80;FGD4;NCK1;NEDD9;MAPRE1;BCL2L11;MID1IP1;CCNB2;PKD2;CLIP2;CENPE;KATNA1;PPP4R2;TIAM1;MID1;LMNB1;FARP1;ARHGDIA;CENPF;KIF4A;KIF1B;KPTN;BIRC5;BUB1;KIF23;TTK;RANBP9;PCM1;KNTC1;PCGF5;STAU1;TOP2A;CTTN;ARHGEF3;PLK1;TPX2;ABR;ARAP3;ESPL1;CSNK1D;NUSAP1;CDC27;CCDC88A;ECT2;KIF15;FBXO5;KIF11;CYTH2;AURKA;ANLN","TCGA-LGG"
"HALLMARK_ADIPOGENESIS",9.48648898348847e-10,2.49644446933907e-09,0.788186810800237,0.55977682707843,1.84429138091168,200,"C3;UCP2;SLC1A5;STAT5A;SQOR;DRAM2;AK2;IFNGR1;RREB1;SLC66A3;FAH;LTC4S;NABP1;SCP2;CMPK1;CD302;CPT2;PPARG;PLIN2;ACADM;ESYT1;PFKFB3;UBC;GBE1;SDHB;LAMA4;ABCA1;TANK;SORBS1;ACAA2;RAB34;ADIG;RIOK3;COL15A1;RETSAT;GADD45A;CAVIN1;PEX14;SOWAHC;ACADS;STOM;ECH1;COL4A1;EPHX2;DBT;TOB1;SSPN;POR;LPCAT3;ARAF;CD151;ANGPT1;PHYH;SDHC;CAT;BCL6;APOE;VEGFB;MTCH2;DHRS7B;NMT1;DNAJC15;CHUK;SLC25A10;RETN;MCCC1;ACADL;ELMOD3;PGM1;PREB;DHRS7;HIBCH;IDH1;FABP4;PFKL;HADH;CDKN2C;MYLK;PDCD4;UQCRQ;ACOX1;PIM3;GPAT4;GPX4;ORM1;BCL2L13;IMMT;TST;RNF11;ENPP2;GPX3;HSPB8;ATP1B3;GPD2;AGPAT3","TCGA-LGG"
"HALLMARK_DNA_REPAIR",7.63318864732816e-09,1.90829716183204e-08,0.747739663149885,0.586157679653946,1.9001379050023,149,"HCLS1;PDE6G;TAF12;GTF2B;ERCC1;SF3A3;ELOA;RPA2;TAF13;DDB2;GSDME;CLP1;POLR2J;RFC2;POLD1;POLD4;SDCBP;PNP;AGO4;CETN2;DAD1;CANT1;SEC61A1;RPA3;PCNA;APRT;MRPL40;GTF2A2;POLE4;RALA;ITPA;POLR2I;POLR2G;POLD3;NT5C;ZNF707;ELL;POLA2;BCAP31;TMED2;RFC5;ADRM1;AK1;CMPK2;ERCC4;RAD51;POLA1;GTF2H3;SURF1;POLR1D;SUPT5H;TK2;POLR3C;ERCC2;POLR2K;LIG1;MPG;GPX4;STX3;ALYREF;NUDT9;UPF3B;GTF2H5;DDB1;DGCR8;SMAD5;POLR1C;POLR1H;NELFE;POLR2D;BCAM;NME4;NCBP2;NELFCD;UMPS;TARBP2;GMPR2;AK3","TCGA-LGG"
